n_steps;n_d;n_a;gamma;best_valid_acc
7.0;56.0;56.0;2.0;0.857069010080124
8.0;8.0;8.0;1.0;0.9205220987335229
8.0;8.0;8.0;1.2;0.6881623158438873
8.0;8.0;8.0;1.4;0.6519772551046782
8.0;8.0;8.0;1.6;0.6533126561557681
8.0;8.0;8.0;1.8;0.6961747221504264
8.0;8.0;8.0;2.0;0.6448263978633583
8.0;24.0;24.0;1.0;0.9829413285086586
8.0;24.0;24.0;1.2;0.7783234255190833
8.0;24.0;24.0;1.4;0.7498923063668476
8.0;24.0;24.0;1.6;0.7526061859222882
8.0;24.0;24.0;1.8;0.7298612906004996
8.0;24.0;24.0;2.0;0.7369259929352977
8.0;40.0;40.0;1.0;0.9851382786249677
8.0;40.0;40.0;1.2;0.8229085896441802
8.0;40.0;40.0;1.4;0.7261135521667959
8.0;40.0;40.0;1.6;0.7705694839321099
8.0;40.0;40.0;1.8;0.8518566382355475
8.0;40.0;40.0;2.0;0.8064099250452313
8.0;56.0;56.0;1.0;0.9937968467304213
8.0;56.0;56.0;1.2;0.7116395278711123
8.0;56.0;56.0;1.4;0.7594124235375205
8.0;56.0;56.0;1.6;0.8026621866115276
8.0;56.0;56.0;1.8;0.7403291117429137
8.0;56.0;56.0;2.0;0.8424657534246576
9.0;8.0;8.0;1.0;0.9452485569053157
9.0;8.0;8.0;1.2;0.6508572413198932
9.0;8.0;8.0;1.4;0.6422417506677005
9.0;8.0;8.0;1.6;0.57960713362626
9.0;8.0;8.0;1.8;0.7837942620832257
9.0;8.0;8.0;2.0;0.73076591711898
9.0;24.0;24.0;1.0;0.9819074696303954
9.0;24.0;24.0;1.2;0.7414491255276988
9.0;24.0;24.0;1.4;0.737701387093995
9.0;24.0;24.0;1.6;0.7616524511070906
9.0;24.0;24.0;1.8;0.6600758163177393
9.0;24.0;24.0;2.0;0.7613509089342638
9.0;40.0;40.0;1.0;0.9880675454467132
9.0;40.0;40.0;1.2;0.6857069010080125
9.0;40.0;40.0;1.4;0.6940208494873783
9.0;40.0;40.0;1.6;0.7834927199103989
9.0;40.0;40.0;1.8;0.8264409408115793
9.0;40.0;40.0;2.0;0.8294132850865856
9.0;56.0;56.0;1.0;0.9927629878521582
9.0;56.0;56.0;1.2;0.6817437753080038
9.0;56.0;56.0;1.4;0.7359782889635564
9.0;56.0;56.0;1.6;0.6643835616438356
9.0;56.0;56.0;1.8;0.6619712242612217
9.0;56.0;56.0;2.0;0.8406134229344361
10.0;8.0;8.0;1.0;0.9380976996639958
10.0;8.0;8.0;1.2;0.577324028603429
10.0;8.0;8.0;1.4;0.6735159817351598
10.0;8.0;8.0;1.6;0.6747652278797277
10.0;8.0;8.0;1.8;0.6584388730938227
10.0;8.0;8.0;2.0;0.7108210562591539
10.0;24.0;24.0;1.0;0.988282932713018
10.0;24.0;24.0;1.2;0.6846730421297493
10.0;24.0;24.0;1.4;0.7287412768157147
10.0;24.0;24.0;1.6;0.6928577582493323
10.0;24.0;24.0;1.8;0.8124407685017662
10.0;24.0;24.0;2.0;0.8199793228224347
10.0;40.0;40.0;1.0;0.9938399241836823
10.0;40.0;40.0;1.2;0.720125786163522
10.0;40.0;40.0;1.4;0.6138967864219868
10.0;40.0;40.0;1.6;0.8162746618419919
10.0;40.0;40.0;1.8;0.7261997070733178
10.0;40.0;40.0;2.0;0.8142069440854657
10.0;56.0;56.0;1.0;0.987119841474972
10.0;56.0;56.0;1.2;0.7159041957439476
10.0;56.0;56.0;1.4;0.7956836391832515
10.0;56.0;56.0;1.6;0.9005772378736969
10.0;56.0;56.0;1.8;0.7923666752821573
10.0;56.0;56.0;2.0;0.7867666063582321
